time,test 1,test 2,test 3,test 4,test 5
seconds,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g
0.27,3.2206,3.8402,3.5842,5.2144,11.892
0.271,1.8635,4.917,4.5842,5.3193,8.5007
0.272,-0.71834,6.7679,4.3445,5.3739,6.2809
0.273,-0.85692,6.3122,1.4137,1.6619,2.2508
0.274,2.8249,3.1067,-0.41969,-2.2053,-2.9828
0.275,5.1558,-0.62155,-0.13691,-2.6641,-4.7182
0.276,0.52141,-3.351,-0.6388,-2.2097,-3.9691
0.277,-7.8784,-2.2446,-1.4478,-2.1463,-3.6894
0.278,-12.754,2.6307,-0.90098,-1.3925,-3.5921
0.279,-12.252,5.5179,0.13464,-1.268,-2.9404
0.28,-9.826,2.3498,-0.72682,-3.1448,-3.3074
0.281,-8.9658,-4.058,-4.1651,-5.2073,-4.9604
0.282,-10.131,-9.4998,-8.0361,-6.5859,-6.3462
0.283,-12.01,-12.242,-9.8395,-8.1394,-6.8531
0.284,-12.293,-12.549,-9.4406,-9.4633,-8.0217
0.285,-10.172,-12.025,-9.4462,-9.778,-9.2427
0.286,-7.2716,-11.914,-11.559,-10.94,-9.0604
0.287,-6.0743,-12.866,-14.452,-13.365,-9.4699
0.288,-5.8971,-12.59,-15.553,-15.057,-12.346
0.289,-4.8783,-9.7277,-13.252,-13.728,-14.489
0.29,-2.4088,-5.7528,-9.2178,-10.195,-13.163
0.291,-1.2539,-2.9234,-6.3413,-6.6143,-9.1603
0.292,-2.1042,-1.9403,-5.6465,-4.9691,-5.5871
0.293,-2.47,-3.0561,-5.7364,-5.2706,-5.1252
0.294,-1.159,-5.7263,-5.7757,-6.4352,-7.0554
0.295,0.47022,-7.5771,-5.5697,-7.2697,-8.3089
0.296,0.9821,-5.8417,-4.9461,-6.8525,-7.5647
0.297,0.79357,-1.6157,-3.5378,-5.3121,-6.2763
0.298,1.1432,1.3089,-2.3243,-4.069,-5.1377
0.299,1.0982,1.2418,-2.3111,-4.0275,-4.099
0.3,0.20679,0.037025,-2.3224,-3.5949,-3.3299
0.301,-0.77577,0.25083,0.012909,-0.76767,-2.1064
0.302,-2.3214,2.47,4.1722,4.2072,1.3569
0.303,-5.0031,4.7766,7.1031,7.9477,6.221
0.304,-7.6774,5.0357,6.6274,7.5588,8.4858
0.305,-8.409,1.9051,4.0861,4.5634,6.6255
0.306,-7.3902,-2.2758,2.0205,2.302,3.7865
0.307,-6.1904,-4.8165,0.81631,0.59349,1.4818
0.308,-5.9732,-6.079,-0.32044,-0.22365,0.1384
0.309,-6.4751,-6.5487,-1.8392,-0.48583,0.25076
0.31,-6.2454,-6.5986,-4.9311,-1.6547,0.028533
0.311,-4.4251,-7.0184,-6.6072,-3.407,-1.3173
0.312,-1.7646,-8.1405,-6.6671,-4.9451,-3.1776
0.313,0.017019,-8.7726,-6.6109,-5.5088,-5.0178
0.314,0.43776,-7.1386,-5.9611,-4.9232,-5.9342
0.315,-0.080362,-3.6054,-4.1502,-3.7762,-5.3699
0.316,-0.77452,-0.95864,-2.2456,-2.793,-3.9092
0.317,-0.94556,-0.88373,-2.0583,-2.7231,-2.8804
0.318,-0.037914,-2.1634,-3.8674,-4.117,-3.4248
0.319,1.7612,-2.6956,-5.4217,-5.6311,-4.863
0.32,3.0945,-2.126,-5.0715,-5.7207,-5.5372
0.321,3.4116,-0.87281,-3.2381,-4.1979,-4.8006
0.322,3.8049,0.65815,-1.4179,-2.4063,-3.5396
0.323,5.3368,2.3171,0.51293,-0.72834,-2.843
0.324,7.2857,4.207,2.9699,1.4827,-1.9616
0.325,8.5479,5.702,4.8258,3.8729,0.20332
0.326,9.1797,5.816,5.1891,4.8015,2.8401
0.327,10.117,4.8624,4.8932,4.2859,4.1186
0.328,11.988,4.5487,5.1873,4.157,3.6966
0.329,14.877,5.3634,6.0618,5.1795,3.4344
0.33,18.041,6.6681,6.7622,6.2064,4.3733
0.331,21.019,8.3894,7.3915,6.8574,5.8614
0.332,24.977,11.345,8.8615,7.9411,7.6168
0.333,32.217,14.743,10.704,9.3766,9.2548
0.334,40.966,17.53,12.156,10.279,9.7142
0.335,40.966,20.84,13.807,10.762,8.8578
0.336,40.966,27.774,17.036,12.464,8.2086
0.337,40.966,40.105,24.106,17.769,9.6743
0.338,39.569,51.169,35.646,28.068,14.616
0.339,35.853,51.169,47.027,41.374,23.498
0.34,36.172,51.169,52.342,52.703,35.878
